models,test_synth,test_real_nominal,test_real_edge,test_real,test,param,flops,delay,fps
map,0.754,0.586,0.348,0.545,0.662,3.011,8.194,7.756,135.0
map,0.758 (+00.5%),0.591 (+00.9%),0.365 (+04.9%),0.553 (+01.5%),0.666 (+00.6%),3.027 (+00.5%),8.247 (+00.6%),7.8 (+00.2%),135.4 (+00.3%)
