models,test_synth,test_real_nominal,test_real_edge,test_real,test,param,flops,delay,fps
att_yolov8n_ema_640_640,0.754,0.561,0.323,0.521,0.651,3.012,8.215,8.635,122.0
att_yolov8n_cbam_640_640,0.758,0.568,0.34,0.528,0.656,3.077,8.247,7.817,132.8
att_yolov8n_lsk_640_640,0.756,0.569,0.338,0.529,0.656,3.13,8.288,8.231,125.0
att_yolov8n_eca_640_640,0.753,0.576,0.338,0.535,0.658,3.011,8.196,8.037,131.0
att_yolov8n_gam_640_640,0.759,0.583,0.342,0.541,0.662,4.651,9.506,8.044,130.9
att_yolov8n_se_640_640,0.751,0.584,0.353,0.544,0.659,3.019,8.201,8.228,127.3
base_yolov8n_640_640,0.754,0.586,0.348,0.545,0.662,3.011,8.194,7.756,135.0
att_yolov8n_cpca_640_640,0.76,0.588,0.358,0.549,0.667,3.138,8.425,8.135,126.7
att_yolov8n_lska_640_640,0.751,0.59,0.366,0.552,0.661,3.089,8.256,8.174,132.3
