metrics,test_synth,test_real_nominal,test_real_edge,test_real,test
"AP (IoU=0.50:0.95, area=small, maxDets=100)",-,0.188,0.110,0.174,0.170
"AP (IoU=0.50:0.95, area=medium, maxDets=100)",0.621,0.461,0.268,0.432,0.529
"AP (IoU=0.50:0.95, area=large, maxDets=100)",0.813,0.784,0.439,0.715,0.777
"AP (IoU=0.50:0.95, area=small, maxDets=100)",-,0.193 (+02.7%),0.149 (+35.5%),0.185 (+06.3%),0.184 (+08.2%)
"AP (IoU=0.50:0.95, area=medium, maxDets=100)",0.632 (+01.8%),0.473 (+02.6%),0.319 (+19.0%),0.450 (+04.2%),0.542 (+02.5%)
"AP (IoU=0.50:0.95, area=large, maxDets=100)",0.821 (+01.0%),0.799 (+01.9%),0.478 (+08.9%),0.735 (+02.8%),0.788 (+01.4%)
