models,test_synth,test_real_nominal,test_real_edge,test_real,test,param,flops,delay,fps
base_yolov8n_640_640,0.754,0.586,0.348,0.545,0.662,3.011,8.194,7.756,135.0
aug_yolov8n_aug_all_1_640_640,0.746,0.596,0.368,0.558,0.661,3.011,8.194,8.139,129.1
aug_yolov8n_aug_all_20_640_640,0.755,0.591,0.417,0.561,0.666,3.011,8.194,7.821,135.4
aug_yolov8n_aug_all_5_640_640,0.749,0.6,0.381,0.563,0.664,3.011,8.194,7.465,140.2
aug_yolov8n_aug_all_15_640_640,0.75,0.596,0.408,0.565,0.663,3.011,8.194,7.643,139.4
aug_yolov8n_aug_all_10_640_640,0.756,0.603,0.412,0.572,0.671,3.011,8.194,7.938,132.4
