models,test_synth,test_real_nominal,test_real_edge,test_real,test,param,flops,delay,fps
map,0.754,0.586,0.348,0.545,0.662,3.011,8.194,7.756,135.0
map,0.751 (-00.4%),0.590 (+00.7%),0.366 (+05.2%),0.552 (+01.3%),0.661 (-00.2%),3.089 (+02.6%),8.256 (+00.8%),8.2 (+05.4%),132.3 (-02.0%)
