models,test_synth,test_real_nominal,test_real_edge,test_real,test,param,flops,delay,fps
base_yolov8n_640_640,0.754,0.586,0.348,0.545,0.662,3.011,8.194,7.756,135.0
finetune_single_yolov8n_lska_bifpn_EIoU_aug_all_5_640_640,0.712,0.579,0.362,0.542,0.635,,,,
finetune_double_yolov8n_lska_bifpn_EIoU_aug_all_5_640_640,,0.615,0.381,0.576,,,,,
finetune_triple_yolov8n_lska_bifpn_EIoU_aug_all_5_640_640,,,0.557,,,,,,
finetune_triple_split_yolov8n_lska_bifpn_EIoU_aug_all_5_640_640,,,0.579,,,,,,
