models,test_synth,test_real_nominal,test_real_edge,test_real,test,param,flops,delay,fps
baseline_yolov3_608,0.684,0.492,0.233,0.448,0.581,61.524,58.861,12.4,83.9
baseline_yolov6n_640,0.722,0.524,0.219,0.473,0.613,4.301,5.495,14.7,70.9
baseline_ssd_512,0.67,0.53,0.244,0.482,0.588,24.386,87.541,14.9,65.8
baseline_yolov7t_640,0.687,0.524,0.316,0.488,0.599,6.015,6.551,9.4,103.6
baseline_yolov5n_640,0.706,0.54,0.302,0.499,0.614,1.765,2.088,10.2,100.1
baseline_faster_rcnn_1333,0.719,0.566,0.286,0.517,0.63,41.348,158.276,28.4,32.7
base_yolov8n_640_640,0.754,0.586,0.348,0.545,0.662,3.011,8.194,7.756,135.0
merge_att_fpn_iou_aug_yolov8n_lska_bifpn_EIoU_aug_all_5_640_640,0.76,0.611,0.413,0.578,0.678,3.106,8.308,8.394,125.3
