models,test_synth,test_real_nominal,test_real_edge,test_real,test,param,flops,delay,fps
map,0.754,0.586,0.348,0.545,0.662,3.011,8.194,7.756,135.0
map,0.760 (+00.8%),0.611 (+04.3%),0.413 (+18.7%),0.578 (+06.1%),0.678 (+02.4%),3.106 (+03.2%),8.308 (+01.4%),8.4 (+08.2%),125.3 (-07.2%)
