models,test_synth,test_real_nominal,test_real_edge,test_real,test,param,flops,delay,fps
map,0.754,0.586,0.348,0.545,0.662,3.011,8.194,7.756,135.0
map,0.762 (+01.1%),0.600 (+02.4%),0.393 (+12.9%),0.563 (+03.3%),0.675 (+02.0%),3.106 (+03.2%),8.308 (+01.4%),7.9 (+02.3%),131.4 (-02.7%)
