models,test_synth,test_real_nominal,test_real_edge,test_real,test,param,flops,delay,fps
map,0.760,0.611,0.413,0.578,0.678,3.106,8.308,8.394,125.3
map,0.785 (+03.3%),0.744 (+21.8%),0.517 (+25.2%),0.707 (+22.3%),0.747 (+10.2%),3.106 (+00.0%),33.232 (+300.0%),12.7 (+50.8%),89.3 (-28.7%)
