Along track distance,0-0.5,0.5-1,1-1.5,1.5-2,2-2.5,2.5-3
"AP (IoU=0.50:0.95, area=all, maxDets=100)",0.897,0.801,0.704,0.666,0.598,0.577
"AP (IoU=0.50:0.95, area=all, maxDets=100)",0.847 (-05.6%),0.877 (+09.6%),0.770 (+09.4%),0.712 (+06.9%),0.679 (+13.5%),0.668 (+15.8%)
