models,test_synth,test_real_nominal,test_real_edge,test_real,test,param,flops,delay,fps
map,0.754,0.586,0.348,0.545,0.662,3.011,8.194,7.756,135.0
map,0.749 (-00.7%),0.600 (+02.4%),0.381 (+09.5%),0.563 (+03.3%),0.664 (+00.3%),3.011 (+00.0%),8.194 (+00.0%),7.5 (-03.8%),140.2 (+03.9%)
