models,test_synth,test_real_nominal,test_real_edge,test_real,test,param,flops,delay,fps
map,0.760,0.611,0.413,0.578,0.678,3.106,8.308,8.394,125.3
map,0.848 (+11.6%),0.750 (+22.7%),0.489 (+18.4%),0.709 (+22.7%),0.786 (+15.9%),3.106 (+00.0%),33.232 (+300.0%),12.7 (+51.2%),90.9 (-27.5%)
