metrics,test_synth,test_real_nominal,test_real_edge,test_real,test
"AP (IoU=0.50:0.95, area=small, maxDets=100)",-,0.188,0.110,0.174,0.170
"AP (IoU=0.50:0.95, area=medium, maxDets=100)",0.621,0.461,0.268,0.432,0.529
"AP (IoU=0.50:0.95, area=large, maxDets=100)",0.813,0.784,0.439,0.715,0.777
"AP (IoU=0.50:0.95, area=small, maxDets=100)",-,0.205 (+09.0%),0.191 (+73.6%),0.201 (+15.5%),0.202 (+18.8%)
"AP (IoU=0.50:0.95, area=medium, maxDets=100)",0.634 (+02.1%),0.476 (+03.3%),0.306 (+14.2%),0.452 (+04.6%),0.546 (+03.2%)
"AP (IoU=0.50:0.95, area=large, maxDets=100)",0.817 (+00.5%),0.815 (+04.0%),0.521 (+18.7%),0.759 (+06.2%),0.794 (+02.2%)
